Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,USD,Merchant,User ID
2025-01-07,Cash,Family,Pocket money,,1000.0,Expense,INR,12.0,Interac Transfer,USER__001
2024-12-20,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR,6.1302,Amazon,USER__002
2024-12-27,Credit Card,Food,Dinner,Home Food Delivery,1120.0,Expense,INR,13.44,Uber,USER__003
2025-01-10,Cash,Festivals,Navratri,Ganpati+ navratri vargani,1000.0,Expense,INR,12.0,Home Depot,USER__004
2024-12-29,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR,15.6648,Best Buy,USER__005
2025-01-03,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR,14.4648,Lyft,USER__006
2025-01-10,Cash,Household,Kirana,Supermart,594.0,Expense,INR,7.128,Shell,USER__007
2024-12-31,Saving Bank account 1,Money transfer,Home,,30000.0,Expense,INR,360.0,Home Depot,USER__008
2024-12-17,Debit Card,Culture,Movie,2 INOX ,481.36,Expense,INR,5.77632,Amazon,USER__009
2024-12-17,Credit Card,Household,Kirana,Supermart,3750.0,Expense,INR,45.0,Lyft,USER__010
2024-12-24,Credit Card,Health,Medicine,Cataract Medicine,1048.0,Expense,INR,12.576,Amazon,USER__011
2025-01-07,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1190.0,Expense,INR,14.28,Amazon,USER__012
2024-12-14,Cash,Food,vegetables,,500.0,Expense,INR,6.0,Walmart,USER__013
2024-12-12,Credit Card,Health,Medicine,Cataract Medicine,1358.0,Expense,INR,16.296,Target,USER__014
2025-01-08,Saving Bank account 1,Household,Appliances,Aqugurad PRV,1200.0,Expense,INR,14.4,eBay,USER__015
2024-12-30,Credit Card,Food,Dinner,Home Food Delivery,455.0,Expense,INR,5.46,Walmart,USER__016
2024-12-12,Credit Card,Apparel,Accessories,Purse,450.0,Expense,INR,5.4,Best Buy,USER__017
2024-12-26,Credit Card,Apparel,Footwear,Rainy season chappal,550.0,Expense,INR,6.6,Amazon,USER__018
2024-12-16,Credit Card,Household,Kirana,Supermart,1990.0,Expense,INR,23.88,Amazon,USER__019
2025-01-11,Saving Bank account 1,Household,Appliances,Aqugurad water purifier,13050.0,Expense,INR,156.6,Walmart,USER__020
2025-01-06,Credit Card,Household,Kirana,Smart point,2074.0,Expense,INR,24.888,Target,USER__001
2024-12-21,Credit Card,subscription,Mobile Service Provider,Annual recharge,2545.0,Expense,INR,30.54,Lyft,USER__002
2024-12-31,Saving Bank account 1,Family,Pocket money,,2000.0,Expense,INR,24.0,Interac Transfer,USER__003
2024-12-14,Saving Bank account 1,Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,Expense,INR,14.5632,Shell,USER__004
2024-12-27,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR,8.004,Uber,USER__005
2024-12-21,Saving Bank account 1,Household,Appliances,LG Washing Machine,21500.0,Expense,INR,258.0,Best Buy,USER__006
2025-01-12,Saving Bank account 1,Food,fruits,2 dozens mango + 1kg litchi,1250.0,Expense,INR,15.0,Amazon,USER__007
2024-12-21,Cash,Family,Pocket money,,500.0,Expense,INR,6.0,Interac Transfer,USER__008
2024-12-21,Cash,Family,Pocket money,,1000.0,Expense,INR,12.0,Interac Transfer,USER__009
2025-01-06,Credit Card,Household,Kirana,Smart point,450.0,Expense,INR,5.4,Amazon,USER__010
2024-12-29,Credit Card,Household,Kitchen,"Vessels for sugar, coffee and tea",799.0,Expense,INR,9.588,Uber,USER__011
2024-12-19,Credit Card,Family,makeup,Body mist,525.0,Expense,INR,6.3,Interac Transfer,USER__012
2024-12-18,Cash,Health,Lab Tests,Family Thyroid Test + CBC,700.0,Expense,INR,8.4,Best Buy,USER__013
2024-12-18,Credit Card,Food,Lunch,Domino's Pizza,419.0,Expense,INR,5.028,Best Buy,USER__014
2024-12-12,Credit Card,Food,Dinner,At restaurant,1234.0,Expense,INR,14.808,Shell,USER__015
2024-12-29,Credit Card,Family,clothes,Trouser,799.0,Expense,INR,9.588,Interac Transfer,USER__016
2025-01-09,Credit Card,Family,clothes,Belt + bow,498.0,Expense,INR,5.976,Interac Transfer,USER__017
2025-01-08,Credit Card,Food,Dinner,Domino's Pizza,578.0,Expense,INR,6.936,Home Depot,USER__018
2024-12-29,Cash,Family,Pocket money,,480.0,Expense,INR,5.76,Interac Transfer,USER__019
2024-12-26,Credit Card,Transportation,Bike,First servicing,443.0,Expense,INR,5.316,Best Buy,USER__020
2024-12-14,Saving Bank account 1,Household,Appliances,Kitchen fan + installation+ repair,2600.0,Expense,INR,31.2,eBay,USER__001
2025-01-09,Credit Card,Food,Dinner,BBQ,1783.0,Expense,INR,21.396,Walmart,USER__002
2025-01-10,Credit Card,Family,clothes,,3598.0,Expense,INR,43.176,Interac Transfer,USER__003
2025-01-07,Credit Card,Household,Kirana,Smart point,976.9,Expense,INR,11.7228,Walmart,USER__004
2024-12-13,Credit Card,Household,Kirana,Supermart,764.0,Expense,INR,9.168,eBay,USER__005
2024-12-13,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux third installment,43000.0,Expense,INR,516.0,Amazon,USER__006
2024-12-25,Credit Card,Apparel,Clothing,Pyjama (999)+ carry bag (10),1009.0,Expense,INR,12.108,Starbucks,USER__007
2024-12-17,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux second installment,50000.0,Expense,INR,600.0,Home Depot,USER__008
2024-12-29,Credit Card,Household,Hardware,Vibrating electronic message tool,798.0,Expense,INR,9.576,Target,USER__009
